Date,Open,Close,Volume
2020-02-03,84.1500015258789,84.55000305175781,2139581
2020-02-04,84.4000015258789,84.30999755859375,2564013
2020-02-05,85.0,83.27999877929688,3166202
2020-02-06,83.93000030517578,84.2300033569336,3581220
2020-02-07,84.62000274658203,84.80000305175781,3368097
2020-02-10,84.73999786376953,84.31999969482422,1818742
2020-02-11,84.80000305175781,84.72000122070312,1913033
2020-02-12,86.19999694824219,88.18000030517578,7132862
2020-02-13,88.48999786376953,88.7300033569336,4143011
2020-02-14,89.4000015258789,90.98999786376953,7942600
2020-02-17,90.79000091552734,89.45999908447266,2619663
2020-02-18,89.80999755859375,90.26000213623047,3817424
2020-02-19,88.01000213623047,87.83000183105469,8050978
2020-02-20,87.83000183105469,87.8499984741211,2902590
2020-02-21,87.8499984741211,88.80000305175781,2506023
2020-02-24,87.61000061035156,87.98999786376953,2432907
2020-02-25,86.30000305175781,86.80000305175781,3475833
2020-02-26,85.33000183105469,85.3499984741211,3362264
2020-02-27,85.12000274658203,84.43000030517578,4435151
2020-02-28,82.25,81.77999877929688,7654504
2020-03-02,80.05000305175781,80.47000122070312,4714534
2020-03-03,81.5,79.11000061035156,4537570
2020-03-04,78.16999816894531,77.11000061035156,4610814
2020-03-05,78.1500015258789,76.75,5804404
2020-03-06,75.33000183105469,73.93000030517578,4995332
2020-03-09,71.0,69.1500015258789,7669261
2020-03-10,67.52999877929688,73.37000274658203,8874773
2020-03-11,73.06999969482422,68.5,8171997
2020-03-12,67.9000015258789,63.11000061035156,10247518
2020-03-13,60.470001220703125,66.36000061035156,17021972
2020-03-16,61.439998626708984,59.720001220703125,10752353
2020-03-17,59.720001220703125,67.63999938964844,11345264
2020-03-18,65.95999908447266,63.95000076293945,10404325
2020-03-19,66.19000244140625,60.95000076293945,10958660
2020-03-20,64.41000366210938,59.90999984741211,10756489
2020-03-23,57.709999084472656,54.2599983215332,10019723
2020-03-24,56.0099983215332,57.0,6944322
2020-03-25,62.0,62.400001525878906,7698259
2020-03-26,62.900001525878906,61.79999923706055,5841282
2020-03-27,63.279998779296875,57.65999984741211,12591507
2020-03-30,57.849998474121094,63.95000076293945,5825869
2020-03-31,64.5999984741211,61.81999969482422,9250686
2020-04-01,64.0,63.66999816894531,6392579
2020-04-02,61.25,61.2400016784668,8116112
2020-04-03,62.099998474121094,60.11000061035156,5466414
2020-04-06,61.09000015258789,62.470001220703125,4475626
2020-04-07,63.599998474121094,61.869998931884766,6689173
2020-04-08,60.0,59.810001373291016,7488425
2020-04-09,61.56999969482422,61.7599983215332,4265838
2020-04-14,61.7599983215332,62.75,4179847
2020-04-15,62.5,62.06999969482422,4472733
2020-04-16,60.470001220703125,61.2599983215332,5129177
2020-04-17,62.150001525878906,61.060001373291016,3484591
2020-04-20,60.9900016784668,59.880001068115234,3866241
2020-04-21,60.13999938964844,58.630001068115234,4261494
2020-04-22,58.380001068115234,59.25,4437856
2020-04-23,60.0,58.83000183105469,4443380
2020-04-24,58.54999923706055,58.880001068115234,4408844
2020-04-27,58.25,58.880001068115234,4215834
2020-04-28,59.099998474121094,58.61000061035156,4608913
2020-04-29,59.349998474121094,61.06999969482422,3903547
